new_word,freq,ratio,category,week,date1,date2
남부소방서,11,0.0010750586395621578,사회,1주차,20220102,20220108
제22보병사단,7,0.0006841282251759187,사회,1주차,20220102,20220108
교학부총장,11,0.0010750586395621578,사회,1주차,20220102,20220108
북구지역,11,0.0010750586395621578,사회,1주차,20220102,20220108
원격수업,12,0.0011727912431587178,사회,1주차,20220102,20220108
특별방역대책,60,0.005863956215793589,사회,1주차,20220102,20220108
유증상자,22,0.0021501172791243157,사회,1주차,20220102,20220108
변이바이러스,13,0.0012705238467552776,사회,1주차,20220102,20220108
전쯤,8,0.0007818608287724785,사회,1주차,20220102,20220108
집중호우,7,0.0006841282251759187,사회,1주차,20220102,20220108
인구대비,6,0.0005863956215793589,사회,1주차,20220102,20220108
있었음,16,0.001563721657544957,사회,1주차,20220102,20220108
원가량,7,0.0006841282251759187,사회,1주차,20220102,20220108
양형조건,6,0.0005863956215793589,사회,1주차,20220102,20220108
의원급,22,0.0021501172791243157,사회,1주차,20220102,20220108
전남권,7,0.0006841282251759187,사회,1주차,20220102,20220108
2022학년,11,0.0010750586395621578,사회,1주차,20220102,20220108
정신건강의학,20,0.001954652071931196,사회,1주차,20220102,20220108
한국갤럽,8,0.0007818608287724785,사회,1주차,20220102,20220108
가구소득,8,0.0007818608287724785,사회,1주차,20220102,20220108
평균점수,6,0.0005863956215793589,사회,1주차,20220102,20220108
치료체계,10,0.000977326035965598,사회,1주차,20220102,20220108
화이자사,14,0.0013682564503518374,사회,1주차,20220102,20220108
긴급사용승인,10,0.000977326035965598,사회,1주차,20220102,20220108
성남지청장,7,0.0006841282251759187,사회,1주차,20220102,20220108
손실보상법,7,0.0006841282251759187,사회,1주차,20220102,20220108
밀집시설,10,0.000977326035965598,사회,1주차,20220102,20220108
외부활동,7,0.0006841282251759187,사회,1주차,20220102,20220108
지역발생,15,0.0014659890539483972,사회,1주차,20220102,20220108
문제해결,13,0.0012705238467552776,사회,1주차,20220102,20220108
건축분야,6,0.0005863956215793589,사회,1주차,20220102,20220108
부양의무자,6,0.0005863956215793589,사회,1주차,20220102,20220108
폐쇄회로TV,6,0.0005863956215793589,사회,1주차,20220102,20220108
신뢰수준,7,0.0006841282251759187,사회,1주차,20220102,20220108
접종정보,16,0.001563721657544957,사회,1주차,20220102,20220108
창원보건소장,6,0.0005863956215793589,사회,1주차,20220102,20220108
조선닷컴,17,0.0016614542611415168,사회,1주차,20220102,20220108
한문철TV,10,0.000977326035965598,사회,1주차,20220102,20220108
혐의없음,10,0.000977326035965598,사회,1주차,20220102,20220108
자가검사키트,16,0.001563721657544957,사회,1주차,20220102,20220108
불법행위,15,0.0014659890539483972,사회,1주차,20220102,20220108
표시광고,6,0.0005863956215793589,사회,1주차,20220102,20220108
방역정책,39,0.0038115715402658326,사회,1주차,20220102,20220108
지원대상자,6,0.0005863956215793589,사회,1주차,20220102,20220108
수용인원,6,0.0005863956215793589,사회,1주차,20220102,20220108
돌파감염자,10,0.000977326035965598,사회,1주차,20220102,20220108
단체교섭,6,0.0005863956215793589,사회,1주차,20220102,20220108
경제자족도시,7,0.0006841282251759187,사회,1주차,20220102,20220108
용인특례시,9,0.0008795934323690383,사회,1주차,20220102,20220108
사회복지급여,11,0.0010750586395621578,사회,1주차,20220102,20220108
기본재산액,9,0.0008795934323690383,사회,1주차,20220102,20220108
특례사무,8,0.0007818608287724785,사회,1주차,20220102,20220108
전담구급대,7,0.0006841282251759187,사회,1주차,20220102,20220108
진료과목,7,0.0006841282251759187,사회,1주차,20220102,20220108
공유재산,10,0.000977326035965598,사회,1주차,20220102,20220108
전주지역,9,0.0008795934323690383,사회,1주차,20220102,20220108
부당이득,10,0.000977326035965598,사회,1주차,20220102,20220108
신흥동,9,0.0008795934323690383,사회,1주차,20220102,20220108
송현동,12,0.0011727912431587178,사회,1주차,20220102,20220108
유동삼거리,8,0.0007818608287724785,사회,1주차,20220102,20220108
율목동,6,0.0005863956215793589,사회,1주차,20220102,20220108
운행속도,9,0.0008795934323690383,사회,1주차,20220102,20220108
단속카메라,10,0.000977326035965598,사회,1주차,20220102,20220108
요구사항,6,0.0005863956215793589,사회,1주차,20220102,20220108
정부서울청사,28,0.002736512900703675,사회,1주차,20220102,20220108
방역강화,9,0.0008795934323690383,사회,1주차,20220102,20220108
모집정원,6,0.0005863956215793589,사회,1주차,20220102,20220108
정치외교학과,11,0.0010750586395621578,사회,1주차,20220102,20220108
기계공학부,6,0.0005863956215793589,사회,1주차,20220102,20220108
공소시효,21,0.002052384675527756,사회,1주차,20220102,20220108
기초자료,10,0.000977326035965598,사회,1주차,20220102,20220108
방역전략,17,0.0016614542611415168,사회,1주차,20220102,20220108
전면등교,14,0.0013682564503518374,사회,1주차,20220102,20220108
사업기획,6,0.0005863956215793589,사회,1주차,20220102,20220108
사회과학대학장,13,0.0012705238467552776,사회,1주차,20220102,20220108
뉴스라이브,7,0.0006841282251759187,사회,1주차,20220102,20220108
기획전시실,7,0.0006841282251759187,사회,1주차,20220102,20220108
면적으,24,0.0023455824863174357,사회,1주차,20220102,20220108
피의자신문조서,9,0.0008795934323690383,사회,1주차,20220102,20220108
직권남용권리행사방해,22,0.0021501172791243157,사회,1주차,20220102,20220108
교대근무,7,0.0006841282251759187,사회,1주차,20220102,20220108
유효기간제,7,0.0006841282251759187,사회,1주차,20220102,20220108
학사운영,10,0.000977326035965598,사회,1주차,20220102,20220108
통신내역,7,0.0006841282251759187,사회,1주차,20220102,20220108
전기작업,17,0.0016614542611415168,사회,1주차,20220102,20220108
고소절연작업차,16,0.001563721657544957,사회,1주차,20220102,20220108
신속항원검사,29,0.0028342455043002344,사회,1주차,20220102,20220108
역학조사팀,22,0.0021501172791243157,사회,1주차,20220102,20220108
진단검사의학,6,0.0005863956215793589,사회,1주차,20220102,20220108
관광과장,7,0.0006841282251759187,사회,1주차,20220102,20220108
